Fragment,Type,Fragment Mass,Glycan
Hex1-B,B,218.115423685999,23000
Y-HexNAc1-B,BY,245.126322723,23000
Y-HexNAc1-redEnd,Y,293.183837601,23000
Y-Hex2-B,BY,408.199547244,23000
Y-HexNAc2-redEnd,Y,538.310160324,23000
Hex3-B,B,626.31497093,23000
Y-Hex2HexNAc1-B,BY,653.325869967,23000
YY-Hex1HexNAc2-redEnd,YY,728.394283882,23000
Hex3HexNAc1-B,B,871.441293653,23000
Y-Hex2HexNAc2-redEnd,Y,946.509707568,23000
Hex3HexNAc2-redEnd,NA,1164.62513125399,23000
Y-Hex1-B,BY,204.099773622,24000
Hex1-B,B,218.115423685999,24000
Y-HexNAc1-B,BY,245.126322723,24000
Y-HexNAc1-redEnd,Y,293.183837601,24000
Y-Hex2-B,BY,408.199547244,24000
Hex2-B,B,422.215197308,24000
Y-HexNAc2-redEnd,Y,538.310160324,24000
Y-Hex3-B,BY,612.299320866,24000
Y-Hex3-B,BY,612.299320866,24000
Y-Hex2HexNAc1-B,BY,653.325869967,24000
YY-Hex1HexNAc2-redEnd,YY,728.394283882,24000
Hex4-B,B,830.414744552,24000
Y-Hex3HexNAc1-B,BY,857.425643589,24000
Y-Hex3HexNAc1-B,BY,857.425643589,24000
YY-Hex2HexNAc2-redEnd,YY,932.494057503999,24000
Y-Hex2HexNAc2-redEnd,Y,946.509707568,24000
Hex4HexNAc1-B,B,1075.541067275,24000
Y-Hex3HexNAc2-redEnd,Y,1150.60948118999,24000
Y-Hex3HexNAc2-redEnd,Y,1150.60948118999,24000
Hex4HexNAc2-redEnd,NA,1368.72490487599,24000
Y-Hex1-B,BY,204.099773622,25000
Hex1-B,B,218.115423685999,25000
Y-HexNAc1-B,BY,245.126322723,25000
Y-HexNAc1-redEnd,Y,293.183837601,25000
Y-Hex2-B,BY,408.199547244,25000
Hex2-B,B,422.215197308,25000
Y-HexNAc2-redEnd,Y,538.310160324,25000
Y-Hex3-B,BY,612.299320866,25000
Y-Hex3-B,BY,612.299320866,25000
Y-Hex2HexNAc1-B,BY,653.325869967,25000
YY-Hex1HexNAc2-redEnd,YY,728.394283882,25000
Hex4-B,B,830.414744552,25000
Y-Hex3HexNAc1-B,BY,857.425643589,25000
Y-Hex3HexNAc1-B,BY,857.425643589,25000
YY-Hex2HexNAc2-redEnd,YY,932.494057503999,25000
Y-Hex2HexNAc2-redEnd,Y,946.509707568,25000
Hex4HexNAc1-B,B,1075.541067275,25000
Y-Hex3HexNAc2-redEnd,Y,1150.60948118999,25000
Y-Hex3HexNAc2-redEnd,Y,1150.60948118999,25000
Hex4HexNAc2-redEnd,NA,1368.72490487599,25000
Y-Hex1-B,BY,204.099773622,26000
Hex1-B,B,218.115423685999,26000
Y-HexNAc1-B,BY,245.126322723,26000
Y-HexNAc1-redEnd,Y,293.183837601,26000
Y-Hex2-B,BY,408.199547244,26000
Hex2-B,B,422.215197308,26000
Y-HexNAc2-redEnd,Y,538.310160324,26000
Y-Hex3-B,BY,612.299320866,26000
Hex3-B,B,626.31497093,26000
YY-Hex1HexNAc2-redEnd,YY,728.394283882,26000
Y-Hex4-B,BY,816.399094488,26000
Y-Hex3HexNAc1-B,BY,857.425643589,26000
YY-Hex2HexNAc2-redEnd,YY,932.494057503999,26000
Y-Hex5-B,BY,1020.49886811,26000
Y-Hex5-B,BY,1020.49886811,26000
Y-Hex4HexNAc1-B,BY,1061.525417211,26000
YY-Hex3HexNAc2-redEnd,YY,1136.59383112599,26000
Y-Hex3HexNAc2-redEnd,Y,1150.60948118999,26000
Hex6-B,B,1238.614291796,26000
Y-Hex5HexNAc1-B,BY,1265.625190833,26000
Y-Hex5HexNAc1-B,BY,1265.625190833,26000
YY-Hex4HexNAc2-redEnd,YY,1340.69360474799,26000
YY-Hex4HexNAc2-redEnd,YY,1340.69360474799,26000
Y-Hex4HexNAc2-redEnd,Y,1354.709254812,26000
Hex6HexNAc1-B,B,1483.740614519,26000
Y-Hex5HexNAc2-redEnd,Y,1558.80902843399,26000
Y-Hex5HexNAc2-redEnd,Y,1558.80902843399,26000
Hex6HexNAc2-redEnd,NA,1776.92445211999,26000
Y-Hex1-B,BY,204.099773622,27000
Hex1-B,B,218.115423685999,27000
Y-HexNAc1-B,BY,245.126322723,27000
Y-HexNAc1-redEnd,Y,293.183837601,27000
Y-Hex2-B,BY,408.199547244,27000
Y-Hex2-B,BY,408.199547244,27000
Hex2-B,B,422.215197308,27000
Y-HexNAc2-redEnd,Y,538.310160324,27000
Hex3-B,B,626.31497093,27000
Hex3-B,B,626.31497093,27000
YY-Hex1HexNAc2-redEnd,YY,728.394283882,27000
Y-Hex4-B,BY,816.399094488,27000
Y-Hex4-B,BY,816.399094488,27000
YY-Hex2HexNAc2-redEnd,YY,932.494057503999,27000
Y-Hex5-B,BY,1020.49886811,27000
Y-Hex4HexNAc1-B,BY,1061.525417211,27000
Y-Hex4HexNAc1-B,BY,1061.525417211,27000
YY-Hex3HexNAc2-redEnd,YY,1136.59383112599,27000
YY-Hex3HexNAc2-redEnd,YY,1136.59383112599,27000
Y-Hex6-B,BY,1224.598641732,27000
Y-Hex6-B,BY,1224.598641732,27000
Y-Hex5HexNAc1-B,BY,1265.625190833,27000
YY-Hex4HexNAc2-redEnd,YY,1340.69360474799,27000
Y-Hex4HexNAc2-redEnd,Y,1354.709254812,27000
Y-Hex4HexNAc2-redEnd,Y,1354.709254812,27000
Hex7-B,B,1442.714065418,27000
Y-Hex6HexNAc1-B,BY,1469.724964455,27000
Y-Hex6HexNAc1-B,BY,1469.724964455,27000
YY-Hex5HexNAc2-redEnd,YY,1544.79337836999,27000
YY-Hex5HexNAc2-redEnd,YY,1544.79337836999,27000
Y-Hex5HexNAc2-redEnd,Y,1558.80902843399,27000
Hex7HexNAc1-B,B,1687.840388141,27000
Y-Hex6HexNAc2-redEnd,Y,1762.90880205599,27000
Y-Hex6HexNAc2-redEnd,Y,1762.90880205599,27000
Hex7HexNAc2-redEnd,NA,1981.02422574199,27000
Y-Hex1-B,BY,204.099773622,28000
Hex1-B,B,218.115423685999,28000
Y-HexNAc1-B,BY,245.126322723,28000
Y-HexNAc1-redEnd,Y,293.183837601,28000
Hex2-B,B,422.215197308,28000
Y-HexNAc2-redEnd,Y,538.310160324,28000
Y-Hex3-B,BY,612.299320866,28000
Y-Hex3-B,BY,612.299320866,28000
YY-Hex1HexNAc2-redEnd,YY,728.394283882,28000
Y-Hex4-B,BY,816.399094488,28000
Y-Hex3HexNAc1-B,BY,857.425643589,28000
YY-Hex2HexNAc2-redEnd,YY,932.494057503999,28000
Hex5-B,B,1034.514518174,28000
Y-Hex3HexNAc2-redEnd,Y,1150.60948118999,28000
Y-Hex6-B,BY,1224.598641732,28000
Y-Hex6-B,BY,1224.598641732,28000
YY-Hex4HexNAc2-redEnd,YY,1340.69360474799,28000
YY-Hex4HexNAc2-redEnd,YY,1340.69360474799,28000
Y-Hex7-B,BY,1428.698415354,28000
Y-Hex7-B,BY,1428.698415354,28000
Y-Hex6HexNAc1-B,BY,1469.724964455,28000
Y-Hex6HexNAc1-B,BY,1469.724964455,28000
YY-Hex5HexNAc2-redEnd,YY,1544.79337836999,28000
YY-Hex5HexNAc2-redEnd,YY,1544.79337836999,28000
YY-Hex5HexNAc2-redEnd,YY,1544.79337836999,28000
Hex8-B,B,1646.81383904,28000
Y-Hex7HexNAc1-B,BY,1673.824738077,28000
Y-Hex7HexNAc1-B,BY,1673.824738077,28000
YY-Hex6HexNAc2-redEnd,YY,1748.89315199199,28000
YY-Hex6HexNAc2-redEnd,YY,1748.89315199199,28000
Y-Hex6HexNAc2-redEnd,Y,1762.90880205599,28000
Y-Hex6HexNAc2-redEnd,Y,1762.908802056,28000
Hex8HexNAc1-B,B,1891.940161763,28000
Y-Hex7HexNAc2-redEnd,Y,1967.00857567799,28000
Y-Hex7HexNAc2-redEnd,Y,1967.008575678,28000
Hex8HexNAc2-redEnd,NA,2185.123999364,28000
Y-Hex1-B,BY,204.099773622,29000
Hex1-B,B,218.115423685999,29000
Y-HexNAc1-B,BY,245.126322723,29000
Y-HexNAc1-redEnd,Y,293.183837601,29000
Y-Hex2-B,BY,408.199547244,29000
Hex2-B,B,422.215197308,29000
Y-HexNAc2-redEnd,Y,538.310160324,29000
Y-Hex3-B,BY,612.299320866,29000
Hex3-B,B,626.31497093,29000
YY-Hex1HexNAc2-redEnd,YY,728.394283882,29000
Y-Hex4-B,BY,816.399094488,29000
Y-Hex4-B,BY,816.399094488,29000
YY-Hex2HexNAc2-redEnd,YY,932.494057503999,29000
Hex5-B,B,1034.514518174,29000
Y-Hex4HexNAc1-B,BY,1061.525417211,29000
YY-Hex3HexNAc2-redEnd,YY,1136.59383112599,29000
Y-Hex6-B,BY,1224.598641732,29000
YY-Hex4HexNAc2-redEnd,YY,1340.69360474799,29000
Y-Hex4HexNAc2-redEnd,Y,1354.709254812,29000
Y-Hex7-B,BY,1428.698415354,29000
Y-Hex7-B,BY,1428.698415354,29000
Y-Hex6HexNAc1-B,BY,1469.724964455,29000
YY-Hex5HexNAc2-redEnd,YY,1544.79337836999,29000
YY-Hex5HexNAc2-redEnd,YY,1544.79337836999,29000
YY-Hex5HexNAc2-redEnd,YY,1544.79337836999,29000
Y-Hex8-B,BY,1632.798188976,29000
Y-Hex8-B,BY,1632.798188976,29000
Y-Hex7HexNAc1-B,BY,1673.824738077,29000
Y-Hex7HexNAc1-B,BY,1673.824738077,29000
YY-Hex6HexNAc2-redEnd,YY,1748.89315199199,29000
YY-Hex6HexNAc2-redEnd,YY,1748.89315199199,29000
YY-Hex6HexNAc2-redEnd,YY,1748.893151992,29000
Y-Hex6HexNAc2-redEnd,Y,1762.908802056,29000
Hex9-B,B,1850.913612662,29000
Y-Hex8HexNAc1-B,BY,1877.924511699,29000
Y-Hex8HexNAc1-B,BY,1877.924511699,29000
YY-Hex7HexNAc2-redEnd,YY,1952.99292561399,29000
YY-Hex7HexNAc2-redEnd,YY,1952.99292561399,29000
Y-Hex7HexNAc2-redEnd,Y,1967.00857567799,29000
Y-Hex7HexNAc2-redEnd,Y,1967.008575678,29000
Hex9HexNAc1-B,B,2096.039935385,29000
Y-Hex8HexNAc2-redEnd,Y,2171.1083493,29000
Y-Hex8HexNAc2-redEnd,Y,2171.1083493,29000
Hex9HexNAc2-redEnd,NA,2389.223772986,29000
Y-Hex1-B,BY,204.099773622,33000
Hex1-B,B,218.115423685999,33000
Y-HexNAc1-B,BY,245.126322723,33000
HexNAc1-B,B,259.141972787,33000
Y-HexNAc1-redEnd,Y,293.183837601,33000
Y-Hex2-B,BY,408.199547244,33000
Hex1HexNAc1-B,B,463.241746409,33000
Y-HexNAc2-redEnd,Y,538.310160324,33000
Y-Hex3-B,BY,612.299320866,33000
Y-Hex2HexNAc1-B,BY,653.325869967,33000
Y-Hex2HexNAc1-B,BY,653.325869967,33000
YY-Hex1HexNAc2-redEnd,YY,728.394283882,33000
Y-Hex3HexNAc1-B,BY,857.425643589,33000
Hex3HexNAc1-B,B,871.441293653,33000
Y-Hex2HexNAc2-B,BY,898.45219269,33000
YY-Hex2HexNAc2-redEnd,YY,932.494057503999,33000
Y-Hex2HexNAc2-redEnd,Y,946.509707568,33000
Hex3HexNAc2-B,B,1116.567616376,33000
Y-Hex3HexNAc2-redEnd,Y,1150.60948118999,33000
Y-Hex2HexNAc3-redEnd,Y,1191.63603029099,33000
Hex3HexNAc3-redEnd,NA,1409.75145397699,33000
dHex1-B,B,188.104858999999,33010
Y-Hex1-B,BY,204.099773622,33010
Hex1-B,B,218.115423685999,33010
Y-HexNAc1-B,BY,245.126322723,33010
HexNAc1-B,B,259.141972787,33010
YY-HexNAc1-redEnd,YY,279.168187537,33010
Y-Hex2-B,BY,408.199547244,33010
Hex1HexNAc1-B,B,463.241746409,33010
Y-HexNAc1dHex1-redEnd,Y,467.273046536999,33010
YY-HexNAc2-redEnd,YY,524.29451026,33010
Y-Hex3-B,BY,612.299320866,33010
Y-Hex2HexNAc1-B,BY,653.325869967,33010
Y-Hex2HexNAc1-B,BY,653.325869967,33010
Y-HexNAc2dHex1-redEnd,Y,712.39936926,33010
Y-Hex3HexNAc1-B,BY,857.425643589,33010
Hex3HexNAc1-B,B,871.441293653,33010
Y-Hex2HexNAc2-B,BY,898.45219269,33010
YY-Hex1HexNAc2dHex1-redEnd,YY,902.483492818,33010
YY-Hex2HexNAc2-redEnd,YY,932.494057504,33010
YY-Hex2HexNAc2dHex1-redEnd,YY,1106.58326643999,33010
Hex3HexNAc2-B,B,1116.567616376,33010
Y-Hex2HexNAc2dHex1-redEnd,Y,1120.59891650399,33010
YY-Hex3HexNAc2-redEnd,YY,1136.593831126,33010
YY-Hex2HexNAc3-redEnd,YY,1177.620380227,33010
Y-Hex3HexNAc2dHex1-redEnd,Y,1324.698690126,33010
Y-Hex2HexNAc3dHex1-redEnd,Y,1365.725239227,33010
Y-Hex3HexNAc3-redEnd,Y,1395.73580391299,33010
Hex3HexNAc3dHex1-redEnd,NA,1583.84066291299,33010
Y-Hex1-B,BY,204.099773622,33100
Hex1-B,B,218.115423685999,33100
Hex1-B,B,218.115423685999,33100
Y-HexNAc1-B,BY,245.126322723,33100
Y-HexNAc1-B,BY,245.126322723,33100
Y-HexNAc1-redEnd,Y,293.183837601,33100
Y-Hex2-B,BY,408.199547244,33100
Y-Hex1HexNAc1-B,BY,449.226096345,33100
Hex1HexNAc1-B,B,463.241746409,33100
Y-HexNAc2-redEnd,Y,538.310160324,33100
Y-Hex3-B,BY,612.299320866,33100
Y-Hex2HexNAc1-B,BY,653.325869967,33100
Hex2HexNAc1-B,B,667.341520031,33100
YY-Hex1HexNAc2-redEnd,YY,728.394283882,33100
Y-Hex3HexNAc1-B,BY,857.425643589,33100
Y-Hex3HexNAc1-B,BY,857.425643589,33100
Y-Hex3HexNAc1-B,BY,857.425643589,33100
YY-Hex2HexNAc2-redEnd,YY,932.494057503999,33100
Y-Hex2HexNAc2-redEnd,Y,946.509707568,33100
Hex4HexNAc1-B,B,1075.541067275,33100
Y-Hex3HexNAc2-B,BY,1102.55196631199,33100
Y-Hex3HexNAc2-B,BY,1102.551966312,33100
Y-Hex3HexNAc2-redEnd,Y,1150.60948118999,33100
YY-Hex2HexNAc3-redEnd,YY,1177.62038022699,33100
Hex4HexNAc2-B,B,1320.667389998,33100
Y-Hex3HexNAc3-redEnd,Y,1395.73580391299,33100
Y-Hex3HexNAc3-redEnd,Y,1395.735803913,33100
Hex4HexNAc3-redEnd,NA,1613.851227599,33100
Y-Hex1-B,BY,204.099773622,33101
Y-Hex1-B,BY,204.099773622,33101
Hex1-B,B,218.115423685999,33101
Y-HexNAc1-B,BY,245.126322723,33101
Y-HexNAc1-B,BY,245.126322723,33101
Y-HexNAc1-redEnd,Y,293.183837601,33101
NeuAc1-B,B,375.189316908999,33101
Y-Hex2-B,BY,408.199547244,33101
Y-Hex1HexNAc1-B,BY,449.226096345,33101
Y-Hex1HexNAc1-B,BY,449.226096345,33101
Y-HexNAc2-redEnd,Y,538.310160324,33101
Hex1NeuAc1-B,B,579.289090531,33101
Y-Hex3-B,BY,612.299320866,33101
Y-Hex2HexNAc1-B,BY,653.325869967,33101
Y-Hex2HexNAc1-B,BY,653.325869967,33101
YY-Hex1HexNAc2-redEnd,YY,728.394283882,33101
Hex1HexNAc1NeuAc1-B,B,824.415413254,33101
Y-Hex3HexNAc1-B,BY,857.425643589,33101
Y-Hex3HexNAc1-B,BY,857.425643589,33101
YY-Hex2HexNAc2-redEnd,YY,932.494057503999,33101
Y-Hex2HexNAc2-redEnd,Y,946.509707568,33101
Hex2HexNAc1NeuAc1-B,B,1028.515186876,33101
Y-Hex4HexNAc1-B,BY,1061.525417211,33101
Y-Hex3HexNAc2-B,BY,1102.55196631199,33101
Y-Hex3HexNAc2-redEnd,Y,1150.60948118999,33101
YY-Hex2HexNAc3-redEnd,YY,1177.62038022699,33101
Y-Hex3HexNAc1NeuAc1-B,BY,1218.59931043399,33101
Y-Hex4HexNAc2-B,BY,1306.651739934,33101
YY-Hex3HexNAc3-redEnd,YY,1381.72015384899,33101
Y-Hex3HexNAc3-redEnd,Y,1395.73580391299,33101
Hex4HexNAc1NeuAc1-B,B,1436.71473411999,33101
Y-Hex3HexNAc2NeuAc1-B,BY,1463.72563315699,33101
Y-Hex4HexNAc3-redEnd,Y,1599.83557753499,33101
Hex4HexNAc2NeuAc1-B,B,1681.84105684299,33101
Y-Hex3HexNAc3NeuAc1-redEnd,Y,1756.90947075799,33101
Hex4HexNAc3NeuAc1-redEnd,NA,1975.02489444399,33101
dHex1-B,B,188.104858999999,33110
Y-Hex1-B,BY,204.099773622,33110
Hex1-B,B,218.115423685999,33110
Hex1-B,B,218.115423685999,33110
Y-HexNAc1-B,BY,245.126322723,33110
Y-HexNAc1-B,BY,245.126322723,33110
YY-HexNAc1-redEnd,YY,279.168187537,33110
Y-Hex2-B,BY,408.199547244,33110
Y-Hex1HexNAc1-B,BY,449.226096345,33110
Hex1HexNAc1-B,B,463.241746409,33110
Y-HexNAc1dHex1-redEnd,Y,467.273046536999,33110
YY-HexNAc2-redEnd,YY,524.29451026,33110
Y-Hex3-B,BY,612.299320866,33110
Y-Hex2HexNAc1-B,BY,653.325869967,33110
Hex2HexNAc1-B,B,667.341520031,33110
Y-HexNAc2dHex1-redEnd,Y,712.39936926,33110
Y-Hex3HexNAc1-B,BY,857.425643589,33110
Y-Hex3HexNAc1-B,BY,857.425643589,33110
Y-Hex3HexNAc1-B,BY,857.425643589,33110
YY-Hex1HexNAc2dHex1-redEnd,YY,902.483492818,33110
YY-Hex2HexNAc2-redEnd,YY,932.494057504,33110
Hex4HexNAc1-B,B,1075.541067275,33110
Y-Hex3HexNAc2-B,BY,1102.55196631199,33110
Y-Hex3HexNAc2-B,BY,1102.551966312,33110
YY-Hex2HexNAc2dHex1-redEnd,YY,1106.58326643999,33110
Y-Hex2HexNAc2dHex1-redEnd,Y,1120.59891650399,33110
YY-Hex3HexNAc2-redEnd,YY,1136.593831126,33110
Hex4HexNAc2-B,B,1320.667389998,33110
Y-Hex3HexNAc2dHex1-redEnd,Y,1324.698690126,33110
YY-Hex2HexNAc3dHex1-redEnd,YY,1351.709589163,33110
YY-Hex3HexNAc3-redEnd,YY,1381.72015384899,33110
YY-Hex3HexNAc3-redEnd,YY,1381.720153849,33110
Y-Hex3HexNAc3dHex1-redEnd,Y,1569.82501284899,33110
Y-Hex3HexNAc3dHex1-redEnd,Y,1569.825012849,33110
Y-Hex4HexNAc3-redEnd,Y,1599.83557753499,33110
Hex4HexNAc3dHex1-redEnd,NA,1787.940436535,33110
dHex1-B,B,188.104858999999,33111
Y-Hex1-B,BY,204.099773622,33111
Y-Hex1-B,BY,204.099773622,33111
Hex1-B,B,218.115423685999,33111
Y-HexNAc1-B,BY,245.126322723,33111
Y-HexNAc1-B,BY,245.126322723,33111
YY-HexNAc1-redEnd,YY,279.168187537,33111
NeuAc1-B,B,375.189316908999,33111
Y-Hex2-B,BY,408.199547244,33111
Y-Hex1HexNAc1-B,BY,449.226096345,33111
Y-Hex1HexNAc1-B,BY,449.226096345,33111
Y-HexNAc1dHex1-redEnd,Y,467.273046536999,33111
YY-HexNAc2-redEnd,YY,524.29451026,33111
Hex1NeuAc1-B,B,579.289090531,33111
Y-Hex3-B,BY,612.299320866,33111
Y-Hex2HexNAc1-B,BY,653.325869967,33111
Y-Hex2HexNAc1-B,BY,653.325869967,33111
Y-HexNAc2dHex1-redEnd,Y,712.39936926,33111
Hex1HexNAc1NeuAc1-B,B,824.415413254,33111
Y-Hex3HexNAc1-B,BY,857.425643589,33111
Y-Hex3HexNAc1-B,BY,857.425643589,33111
YY-Hex1HexNAc2dHex1-redEnd,YY,902.483492818,33111
YY-Hex2HexNAc2-redEnd,YY,932.494057504,33111
Hex2HexNAc1NeuAc1-B,B,1028.515186876,33111
Y-Hex4HexNAc1-B,BY,1061.525417211,33111
Y-Hex3HexNAc2-B,BY,1102.55196631199,33111
YY-Hex2HexNAc2dHex1-redEnd,YY,1106.58326643999,33111
Y-Hex2HexNAc2dHex1-redEnd,Y,1120.59891650399,33111
YY-Hex3HexNAc2-redEnd,YY,1136.593831126,33111
Y-Hex3HexNAc1NeuAc1-B,BY,1218.59931043399,33111
Y-Hex4HexNAc2-B,BY,1306.651739934,33111
Y-Hex3HexNAc2dHex1-redEnd,Y,1324.698690126,33111
YY-Hex2HexNAc3dHex1-redEnd,YY,1351.709589163,33111
YY-Hex3HexNAc3-redEnd,YY,1381.72015384899,33111
Hex4HexNAc1NeuAc1-B,B,1436.71473411999,33111
Y-Hex3HexNAc2NeuAc1-B,BY,1463.72563315699,33111
YY-Hex3HexNAc3dHex1-redEnd,YY,1555.809362785,33111
Y-Hex3HexNAc3dHex1-redEnd,Y,1569.82501284899,33111
YY-Hex4HexNAc3-redEnd,YY,1585.81992747099,33111
Hex4HexNAc2NeuAc1-B,B,1681.84105684299,33111
YY-Hex3HexNAc3NeuAc1-redEnd,YY,1742.89382069399,33111
Y-Hex4HexNAc3dHex1-redEnd,Y,1773.92478647099,33111
Y-Hex3HexNAc3NeuAc1dHex1-redEnd,Y,1930.99867969399,33111
Y-Hex4HexNAc3NeuAc1-redEnd,Y,1961.00924437999,33111
Hex4HexNAc3NeuAc1dHex1-redEnd,NA,2149.11410338,33111
dHex1-B,B,188.104858999999,3610
Y-Hex1-B,BY,204.099773622,3610
Y-Hex1-B,BY,204.099773622,3610
Hex1-B,B,218.115423685999,3610
Y-HexNAc1-B,BY,245.126322723,3610
HexNAc1-B,B,259.141972787,3610
YY-HexNAc1-redEnd,YY,279.168187537,3610
Y-Hex2-B,BY,408.199547244,3610
Hex2-B,B,422.215197308,3610
Hex1HexNAc1-B,B,463.241746409,3610
Y-HexNAc1dHex1-redEnd,Y,467.273046536999,3610
YY-HexNAc2-redEnd,YY,524.29451026,3610
Y-Hex3-B,BY,612.299320866,3610
Y-Hex3-B,BY,612.299320866,3610
Y-Hex2HexNAc1-B,BY,653.325869967,3610
Y-HexNAc2dHex1-redEnd,Y,712.39936926,3610
Hex4-B,B,830.414744552,3610
Y-Hex2HexNAc2-B,BY,898.45219269,3610
YY-Hex1HexNAc2dHex1-redEnd,YY,902.483492818,3610
Y-Hex5-B,BY,1020.49886811,3610
Y-Hex4HexNAc1-B,BY,1061.525417211,3610
YY-Hex2HexNAc2dHex1-redEnd,YY,1106.58326643999,3610
YY-Hex2HexNAc3-redEnd,YY,1177.620380227,3610
Y-Hex6-B,BY,1224.598641732,3610
Y-Hex5HexNAc1-B,BY,1265.625190833,3610
Y-Hex5HexNAc1-B,BY,1265.625190833,3610
Y-Hex5HexNAc1-B,BY,1265.625190833,3610
Y-Hex4HexNAc2-B,BY,1306.651739934,3610
YY-Hex3HexNAc2dHex1-redEnd,YY,1310.683040062,3610
Y-Hex2HexNAc3dHex1-redEnd,Y,1365.725239227,3610
Y-Hex6HexNAc1-B,BY,1469.724964455,3610
Hex6HexNAc1-B,B,1483.740614519,3610
Y-Hex5HexNAc2-B,BY,1510.751513556,3610
Y-Hex5HexNAc2-B,BY,1510.751513556,3610
YY-Hex4HexNAc2dHex1-redEnd,YY,1514.782813684,3610
YY-Hex4HexNAc2dHex1-redEnd,YY,1514.782813684,3610
YY-Hex4HexNAc2dHex1-redEnd,YY,1514.782813684,3610
YY-Hex5HexNAc2-redEnd,YY,1544.79337836999,3610
YY-Hex3HexNAc3dHex1-redEnd,YY,1555.809362785,3610
YY-Hex4HexNAc3-redEnd,YY,1585.81992747099,3610
YY-Hex5HexNAc2dHex1-redEnd,YY,1718.88258730599,3610
YY-Hex5HexNAc2dHex1-redEnd,YY,1718.88258730599,3610
Hex6HexNAc2-B,B,1728.866937242,3610
Y-Hex5HexNAc2dHex1-redEnd,Y,1732.89823736999,3610
YY-Hex6HexNAc2-redEnd,YY,1748.893151992,3610
YY-Hex4HexNAc3dHex1-redEnd,YY,1759.90913640699,3610
Y-Hex4HexNAc3dHex1-redEnd,Y,1773.92478647099,3610
YY-Hex5HexNAc3-redEnd,YY,1789.919701093,3610
YY-Hex5HexNAc3-redEnd,YY,1789.919701093,3610
Y-Hex6HexNAc2dHex1-redEnd,Y,1936.998010992,3610
Y-Hex5HexNAc3dHex1-redEnd,Y,1978.024560093,3610
Y-Hex5HexNAc3dHex1-redEnd,Y,1978.024560093,3610
Y-Hex6HexNAc3-redEnd,Y,2008.03512477899,3610
Hex6HexNAc3dHex1-redEnd,NA,2196.139983779,3610
Y-Hex1-B,BY,204.099773622,3410
Y-Hex1-B,BY,204.099773622,3410
Hex1-B,B,218.115423685999,3410
Hex1-B,B,218.115423685999,3410
Y-HexNAc1-B,BY,245.126322723,3410
Y-HexNAc1-B,BY,245.126322723,3410
Y-HexNAc1-redEnd,Y,293.183837601,3410
Hex2-B,B,422.215197308,3410
Y-Hex1HexNAc1-B,BY,449.226096345,3410
Hex1HexNAc1-B,B,463.241746409,3410
Y-HexNAc2-redEnd,Y,538.310160324,3410
Y-Hex3-B,BY,612.299320866,3410
Hex2HexNAc1-B,B,667.341520031,3410
YY-Hex1HexNAc2-redEnd,YY,728.394283882,3410
Y-Hex4-B,BY,816.399094488,3410
Y-Hex3HexNAc1-B,BY,857.425643589,3410
Y-Hex3HexNAc1-B,BY,857.425643589,3410
YY-Hex2HexNAc2-redEnd,YY,932.494057503999,3410
YY-Hex2HexNAc2-redEnd,YY,932.494057503999,3410
Y-Hex4HexNAc1-B,BY,1061.52541721099,3410
Y-Hex4HexNAc1-B,BY,1061.525417211,3410
Y-Hex4HexNAc1-B,BY,1061.525417211,3410
Y-Hex3HexNAc2-B,BY,1102.551966312,3410
YY-Hex3HexNAc2-redEnd,YY,1136.59383112599,3410
Y-Hex3HexNAc2-redEnd,Y,1150.60948118999,3410
YY-Hex2HexNAc3-redEnd,YY,1177.62038022699,3410
Hex5HexNAc1-B,B,1279.640840897,3410
Y-Hex4HexNAc2-B,BY,1306.651739934,3410
Y-Hex4HexNAc2-B,BY,1306.651739934,3410
Y-Hex4HexNAc2-redEnd,Y,1354.70925481199,3410
YY-Hex3HexNAc3-redEnd,YY,1381.72015384899,3410
Y-Hex3HexNAc3-redEnd,Y,1395.735803913,3410
Hex5HexNAc2-B,B,1524.76716362,3410
Y-Hex4HexNAc3-redEnd,Y,1599.83557753499,3410
Y-Hex4HexNAc3-redEnd,Y,1599.83557753499,3410
Hex5HexNAc3-redEnd,NA,1817.95100122099,3410
Y-Hex1-B,BY,204.099773622,34101
Y-Hex1-B,BY,204.099773622,34101
Y-Hex1-B,BY,204.099773622,34101
Hex1-B,B,218.115423685999,34101
Y-HexNAc1-B,BY,245.126322723,34101
Y-HexNAc1-B,BY,245.126322723,34101
Y-HexNAc1-redEnd,Y,293.183837601,34101
NeuAc1-B,B,375.189316908999,34101
Hex2-B,B,422.215197308,34101
Y-Hex1HexNAc1-B,BY,449.226096345,34101
Y-Hex1HexNAc1-B,BY,449.226096345,34101
Y-HexNAc2-redEnd,Y,538.310160324,34101
Hex1NeuAc1-B,B,579.289090531,34101
Y-Hex3-B,BY,612.299320866,34101
Y-Hex2HexNAc1-B,BY,653.325869967,34101
YY-Hex1HexNAc2-redEnd,YY,728.394283882,34101
Y-Hex4-B,BY,816.399094488,34101
Hex1HexNAc1NeuAc1-B,B,824.415413254,34101
Y-Hex3HexNAc1-B,BY,857.425643589,34101
YY-Hex2HexNAc2-redEnd,YY,932.494057503999,34101
YY-Hex2HexNAc2-redEnd,YY,932.494057503999,34101
Hex2HexNAc1NeuAc1-B,B,1028.515186876,34101
Y-Hex4HexNAc1-B,BY,1061.52541721099,34101
Y-Hex4HexNAc1-B,BY,1061.525417211,34101
